	Source	Target	Weight	Type
0	#org0	#per206	2	Undirected
1	#pla16	#pla17	1	Undirected
2	#per14	#pla5	1	Undirected
3	#org110	#per1	1	Undirected
4	#org37	#per110	1	Undirected
5	#org37	#per17	1	Undirected
6	#org6	#tim2	1	Undirected
7	#org6	#pla15	1	Undirected
8	#org19	#pla15	1	Undirected
9	#org18	#per206	1	Undirected
10	#org18	#per145	1	Undirected
11	#per14	#per31	1	Undirected
12	#org19	#per1	1	Undirected
13	#org0	#org18	1	Undirected
14	#per110	#per14	1	Undirected
15	#org0	#per14	1	Undirected
16	#per130	#per20	1	Undirected
17	#org19	#org37	1	Undirected
18	#per14	#per145	1	Undirected
19	#org110	#org37	2	Undirected
20	#pla15	#pla17	1	Undirected
21	#per142	#per639	1	Undirected
22	#per14	#per26	1	Undirected
23	#org0	#org19	2	Undirected
24	#org37	#per14	1	Undirected
25	#per593	#per639	1	Undirected
26	#org70	#per14	1	Undirected
27	#per14	#per20	1	Undirected
28	#pla15	#pla16	1	Undirected
29	#per1	#per31	1	Undirected
30	#org19	#per206	1	Undirected
31	#per130	#per26	1	Undirected
32	#per145	#per206	1	Undirected
33	#per110	#per31	1	Undirected
34	#org37	#per31	1	Undirected
35	#per20	#per26	1	Undirected
36	#per1	#per14	3	Undirected
37	#org110	#org19	1	Undirected
38	#org18	#org37	1	Undirected
39	#per1	#per110	1	Undirected
40	#org18	#per14	1	Undirected
41	#per14	#per206	1	Undirected
42	#pla15	#tim2	1	Undirected
43	#per142	#per593	1	Undirected
44	#org70	#pla5	1	Undirected
45	#org19	#per14	2	Undirected
46	#per130	#per14	1	Undirected
47	#org0	#per145	1	Undirected
48	#org37	#per1	2	Undirected
