	Source	Target	Via	Weight	Type
13	#per14	#per26	oral	563	Directed
16	#per14	#org70	idea	113	Directed
14	#per26	#org70	oral	67	Directed
8	#per14	#per585	oral	28	Directed
37	#per26	#per585	idea	26	Directed
63	#per26	#org70	idea	26	Directed
6	#per26	#per585	oral	21	Directed
65	#per26	#per14	oral	19	Directed
61	#org70	#org14	singing	18	Directed
53	#per14	#org70	oral	17	Directed
21	#per585	#per26	oral	15	Directed
7	#org70	#org70	idea	14	Directed
41	#per583	#per26	oral	12	Directed
36	#org70	#per26	oral	11	Directed
56	#per26	#per14	prayer	7	Directed
24	#per585	#org70	oral	5	Directed
40	#org70	#org70	oral	5	Directed
46	#per14	#per500	oral	5	Directed
4	#org65	#org65	oral	4	Directed
32	#org65	#org70	oral	4	Directed
15	#per26	#per500	idea	4	Directed
60	#per26	#per500	oral	3	Directed
71	#per585	#per500	oral	3	Directed
5	#per500	#per26	oral	3	Directed
33	#per26	#per583	oral	3	Directed
55	#per26	#org0	naming	3	Directed
22	#per500	#org70	oral	3	Directed
50	#per585	#org65	oral	3	Directed
48	#org70	#per500	oral	3	Directed
38	#per14	#per2	oral	2	Directed
66	#per26	#org25	idea	2	Directed
51	#per578	#per579	oral	2	Directed
54	#org70	#per585	oral	2	Directed
1	#org70	#org0	soCalled	2	Directed
67	#org70	#per26	idea	2	Directed
69	#per26	#org46	oral	2	Directed
0	#per578	#org65	oral	2	Directed
23	#per14	#per26	idea	2	Directed
18	#per26	#per503	oral	2	Directed
9	#per583	#org127	oral	2	Directed
17	#per26	#org25	oral	2	Directed
19	#per500	#per585	oral	2	Directed
12	#per26	#org0	written	1	Directed
57	#per503	#per26	oral	1	Directed
58	#per26	#per26	oral	1	Directed
59	#per578	#per578	oral	1	Directed
62	#per104	#org88	oral	1	Directed
35	#per497	#per26	oral	1	Directed
11	#per581	#per497	oral	1	Directed
10	#per584	#per499	oral	1	Directed
68	#org65	#per26	idea	1	Directed
3	#per579	#per578	oral	1	Directed
70	#org0	#org0	soCalled	1	Directed
2	#org127	#per583	oral	1	Directed
64	#per585	#per585	oral	1	Directed
20	#per584	#per26	oral	1	Directed
34	#per585	#org0	idea	1	Directed
45	#per585	#per26	idea	1	Directed
39	#per497	#per582	oral	1	Directed
31	#org65	#per585	oral	1	Directed
30	#per26	#org70	thought	1	Directed
42	#org101	#org0	idea	1	Directed
43	#per14	#org0	oral	1	Directed
44	#per14	#per14	thought	1	Directed
29	#per14	#org25	idea	1	Directed
25	#per497	#org65	oral	1	Directed
47	#org70	#org0	written	1	Directed
28	#per497	#per581	oral	1	Directed
49	#per500	#org70	idea	1	Directed
27	#org14	#per585	oral	1	Directed
26	#org65	#org0	idea	1	Directed
52	#per612	#org0	singing	1	Directed
72	#org131	#org70	idea	1	Directed
