	Source	Target	Weight	Type
0	#per1048	#per1049	1	Undirected
1	#per1052	#per958	1	Undirected
2	#per546	#per958	1	Undirected
3	#per1	#per1047	1	Undirected
4	#per1052	#per546	1	Undirected
5	#per1	#per504	2	Undirected
6	#org18	#per1	1	Undirected
7	#org18	#per1047	1	Undirected
8	#per1	#per527	1	Undirected
9	#per1047	#per504	1	Undirected
10	#per1052	#per571	1	Undirected
11	#per504	#per527	1	Undirected
12	#org37	#per1049	1	Undirected
13	#per546	#per571	1	Undirected
14	#per1050	#per14	1	Undirected
15	#per1	#per1051	1	Undirected
16	#per1047	#per527	1	Undirected
17	#per1047	#per14	1	Undirected
18	#per571	#per958	1	Undirected
19	#org37	#per1048	1	Undirected
20	#per1	#per14	1	Undirected
