	Source	Target	Weight	Type
0	#org4	#pla18	2	Undirected
1	#org170	#per14	1	Undirected
2	#per144	#per47	1	Undirected
3	#per162	#per207	1	Undirected
4	#org37	#pla69	1	Undirected
5	#org37	#pla203	1	Undirected
6	#org0	#per1	6	Undirected
7	#pla198	#pla203	1	Undirected
8	#per21	#pla63	1	Undirected
9	#org37	#per1	5	Undirected
10	#org170	#org37	2	Undirected
11	#org100	#per14	1	Undirected
12	#per14	#per144	1	Undirected
13	#per1	#pla203	1	Undirected
14	#per144	#per207	1	Undirected
15	#per14	#pla72	1	Undirected
16	#per14	#per207	1	Undirected
17	#org37	#pla63	1	Undirected
18	#org100	#org37	1	Undirected
19	#per14	#per17	2	Undirected
20	#per144	#per158	1	Undirected
21	#pla166	#pla198	1	Undirected
22	#org100	#per1	1	Undirected
23	#per14	#per158	1	Undirected
24	#per14	#tim2	1	Undirected
25	#per1	#per17	3	Undirected
26	#per14	#per47	1	Undirected
27	#pla72	#wor1	1	Undirected
28	#per21	#pla166	1	Undirected
29	#pla166	#pla203	1	Undirected
30	#org37	#pla198	1	Undirected
31	#org22	#per1	1	Undirected
32	#per1	#pla166	1	Undirected
33	#per158	#per162	1	Undirected
34	#per14	#wor1	1	Undirected
35	#org100	#org131	1	Undirected
36	#per158	#per207	1	Undirected
37	#pla165	#pla198	1	Undirected
38	#org18	#org19	1	Undirected
39	#per1	#pla63	1	Undirected
40	#per14	#pla18	1	Undirected
41	#org37	#pla166	1	Undirected
42	#per17	#pla18	1	Undirected
43	#org37	#per21	1	Undirected
44	#per162	#per47	1	Undirected
45	#per21	#pla198	1	Undirected
46	#org4	#per17	1	Undirected
47	#org16	#per14	1	Undirected
48	#org122	#per2	1	Undirected
49	#org170	#per1	2	Undirected
50	#pla165	#pla63	1	Undirected
51	#org122	#per14	1	Undirected
52	#per1	#pla165	1	Undirected
53	#org37	#per118	1	Undirected
54	#pla203	#pla63	1	Undirected
55	#per1	#per14	11	Undirected
56	#org0	#pla72	1	Undirected
57	#pla166	#pla63	1	Undirected
58	#per21	#pla203	1	Undirected
59	#org19	#per14	1	Undirected
60	#per1	#wor1	1	Undirected
61	#org16	#org37	1	Undirected
62	#per118	#pla69	1	Undirected
63	#org100	#org19	1	Undirected
64	#per14	#per162	1	Undirected
65	#org122	#per134	1	Undirected
66	#org18	#per14	1	Undirected
67	#org37	#per14	10	Undirected
68	#per207	#per47	1	Undirected
69	#org0	#org22	1	Undirected
70	#org37	#pla165	1	Undirected
71	#org0	#wor1	1	Undirected
72	#org4	#per14	1	Undirected
73	#per144	#per162	1	Undirected
74	#per1	#pla198	1	Undirected
75	#pla198	#pla63	1	Undirected
76	#per1	#per21	2	Undirected
77	#pla165	#pla203	1	Undirected
78	#org170	#per21	1	Undirected
79	#pla165	#pla166	1	Undirected
80	#org0	#per14	5	Undirected
81	#per1	#pla72	1	Undirected
82	#per134	#per2	1	Undirected
83	#org37	#pla41	1	Undirected
84	#per21	#pla165	1	Undirected
85	#per158	#per47	1	Undirected
86	#per117	#per14	1	Undirected
