	Source	Target	Weight	Type
0	#org18	#pla472	1	Undirected
1	#org18	#per14	9	Undirected
2	#per14	#pla199	1	Undirected
3	#org18	#pla30	1	Undirected
4	#org189	#pla80	1	Undirected
5	#org0	#pla30	1	Undirected
6	#per1	#per20	2	Undirected
7	#org70	#pla30	1	Undirected
8	#per14	#per527	2	Undirected
9	#org18	#org19	2	Undirected
10	#org18	#per1	7	Undirected
11	#org185	#pla472	1	Undirected
12	#org19	#per14	2	Undirected
13	#org0	#org70	2	Undirected
14	#org18	#per527	1	Undirected
15	#org110	#org18	1	Undirected
16	#org19	#per1	2	Undirected
17	#per1	#pla202	1	Undirected
18	#org0	#org19	2	Undirected
19	#org70	#pla4	2	Undirected
20	#per14	#pla30	1	Undirected
21	#pla199	#pla2	1	Undirected
22	#org19	#per906	1	Undirected
23	#pla199	#pla472	1	Undirected
24	#org110	#per907	2	Undirected
25	#org0	#per20	1	Undirected
26	#org185	#per1	2	Undirected
27	#org14	#org6	1	Undirected
28	#per14	#pla18	2	Undirected
29	#per527	#pla472	1	Undirected
30	#per504	#pla472	1	Undirected
31	#org18	#per906	1	Undirected
32	#org0	#pla18	1	Undirected
33	#org110	#per1	1	Undirected
34	#org14	#per1	1	Undirected
35	#per1	#pla472	2	Undirected
36	#org102	#per907	1	Undirected
37	#per1	#pla18	1	Undirected
38	#org110	#per504	1	Undirected
39	#org16	#org19	1	Undirected
40	#org100	#org24	1	Undirected
41	#per1	#per241	1	Undirected
42	#org185	#per504	2	Undirected
43	#org100	#pla80	1	Undirected
44	#org37	#per907	1	Undirected
45	#org70	#per26	2	Undirected
46	#org18	#pla18	1	Undirected
47	#per14	#pla472	1	Undirected
48	#per1	#tim2	1	Undirected
49	#per504	#per527	1	Undirected
50	#per504	#pla212	1	Undirected
51	#per527	#pla212	1	Undirected
52	#org185	#pla212	1	Undirected
53	#org185	#pla63	1	Undirected
54	#per504	#tim2	1	Undirected
55	#org0	#org185	1	Undirected
56	#per907	#pla199	1	Undirected
57	#per1	#per14	25	Undirected
58	#org188	#per504	1	Undirected
59	#org100	#per908	1	Undirected
60	#org18	#per17	1	Undirected
61	#org0	#org18	2	Undirected
62	#org18	#org185	1	Undirected
63	#org24	#per908	1	Undirected
64	#org18	#org70	2	Undirected
65	#org37	#per504	1	Undirected
66	#org18	#pla212	1	Undirected
67	#org70	#per2	1	Undirected
68	#pla212	#pla472	1	Undirected
69	#org19	#per20	1	Undirected
70	#org0	#wor9	1	Undirected
71	#org70	#per1	1	Undirected
72	#org188	#per14	1	Undirected
73	#org37	#per14	4	Undirected
74	#per1	#per504	4	Undirected
75	#org18	#per504	1	Undirected
76	#org24	#pla80	1	Undirected
77	#org185	#per17	1	Undirected
78	#org185	#per527	1	Undirected
79	#org100	#org189	1	Undirected
80	#org0	#per14	9	Undirected
81	#per1	#pla212	1	Undirected
82	#per20	#per241	1	Undirected
83	#org0	#per1	4	Undirected
84	#per14	#per504	1	Undirected
85	#per26	#pla4	2	Undirected
86	#per1	#per906	1	Undirected
87	#org110	#org37	1	Undirected
88	#org185	#per14	5	Undirected
89	#per1	#per117	1	Undirected
90	#org37	#per1	2	Undirected
91	#org189	#per908	1	Undirected
92	#per14	#pla212	2	Undirected
93	#org185	#org188	1	Undirected
94	#org70	#per14	2	Undirected
95	#org185	#pla199	1	Undirected
96	#org189	#org24	1	Undirected
97	#per908	#pla80	1	Undirected
98	#per14	#per17	3	Undirected
99	#per504	#pla199	1	Undirected
100	#per1	#per907	2	Undirected
101	#org102	#per14	1	Undirected
102	#per117	#per527	1	Undirected
103	#per117	#per14	1	Undirected
104	#per14	#per20	1	Undirected
105	#per1	#per17	4	Undirected
106	#per1	#per527	2	Undirected
107	#per14	#per907	2	Undirected
108	#org188	#pla199	2	Undirected
