id	NormalizedName-sp	aclaration	variants	comments	book	cert	Gender	NormalizedName-ge	NormalizedName-po	type	nature	definition	importance	order-edition
#per0	persona no definida				NT		none	nicht identifizierte Person	pessoa não identificada	person	human	undefined		MAT
#per1	Jesús				NT		male	Jesus	Jesus	person	both	defined	1	MAT
#per2	Abraham		Abram		AT		male	Abraham	Abraão	person	superior-human	defined	1	MAT
#per3	Isaac				AT		male	Isaak	Isaque	person	human	defined	1	MAT
#per4	Jacob		Israel		AT		male	Jakob	Jacó	person	human	defined	1	MAT
#per5	Judá				AT		male	Juda	Judá	person	human	defined	1	MAT
#per6	Tamar				NT		female	Tamar	Tamar	person	human	defined		MAT
#per7	Fares				AT		male	Perez	Perez	person	human	defined		MAT
#per8	Zéraj				AT		male	Serach	Zerá	person	human	defined		MAT
#per9	Hesrón				NT		male	Hezron	Esrom	person	human	defined		MAT
#per10	Herodes				NT		male	Herodes	Herodes	person	human	defined		MAT
#per11	María	madre de Jesús			NT		female	Maria	Maria	person	human	defined		MAT
#per12	José	padre de Jesús			NT		male	Josef	José	person	human	defined		MAT
#per13	Elías				NT		male	Elija	Elias	person	human	defined	1	MAT
#per14	Dios				AT		none	Gott	Deus	person	superior	defined	1	MAT
#per15	Jeremías				AT		male	Jeremiah	Jeremias	person	human	defined	1	MAT
#per16	Raquel				AT		female	Rahel	Raquel	person	human	defined	1	MAT
#per17	Espíritu Santo			Tb debería integrar en este id cuando se hace referencia al Espíritu de Dios?	AT		none	Heiliger Geist	Espírito Santo	person	superior	defined	1	MAT
#per18	Juan el Bautista				NT		male	Johannes der Täufer	João Batista	person	human	defined		MAT
#per19	Isaías				AT		male	Jesaja	Isaías	person	human	defined	1	MAT
#per20	diablo	demonio			AT		none	Teufel	Diabo	person	superior	defined	1	MAT
#per21	Pedro	h. Zebedeo	Simón	discípulo	NT		male	Simon Petrus	Simão Pedro	person	human	defined		MAT
#per22	Andrés	h. Zebedeo		discípulo	NT		male	Andreas	André	person	human	defined		MAT
#per23	Jacobo	h. Zebedeo		discípulo	NT		male	Jakobus	Tiago	person	human	defined		MAT
#per24	Zebedeo			discípulo	NT		male	Zebedäus	Zebedeu	person	human	defined		MAT
#per25	Juan		discípulo  amado	discípulo	NT		male	Johannes	João	person	human	defined		MAT
#per26	Moisés				AT		male	Mose	Moisés	person	human	defined	1	MAT
#per27	Mateo			discípulo	NT		male	Matthäus	Mateus	person	human	defined		MAT
#per28	Felipe			discípulo	NT		male	Philippus	Filipe	person	human	defined		MAT
#per29	Bartolomé			discípulo	NT		male	Batholomäus	Bartolomeu	person	human	defined		MAT
#per30	Tomás			discípulo	NT		male	Thomas	Tomé	person	human	defined		MAT
#per31	Jacobo	h. Alfeo  h. María	Leví?	discípulo; en MAR 2:14 es Leví?	NT	medium	male	Jakobus	Tiago	person	human	defined		MAT
#per32	Alfeo			discípulo	NT		male	Alphäus	Alfeu	person	human	defined		MAT
#per33	Tadeo			discípulo	NT		male	Thaddäus	Tadeu	person	human	defined		MAT
#per34	Judas Iscariote			discípulo	NT		male	Judas Iskariot	Judas Iscariotes	person	human	defined		MAT
#per35	David				AT		male	David	Davi	person	human	defined	1	MAT
#per36	Jonás				AT		male	Jona	Jonas	person	human	defined	1	MAT
#per37	Herodía				NT		male	Herodias	Herodias	person	human	defined		MAT
#per38	hija de Herodias	Salomé	Salomé		NT		female	Tochter der Herodias	Filha de Herodias	person	human	defined		MAT
#per39	Salomón				NT		male	Salomo	Salomão	person	human	defined	1	MAT
#per40	Jonás	p. Simón Pedro			NT		male	Jona	Jonas	person	human	defined		MAT
#per41	madre de hijos de Zebedeo			En Mat.27: 56 aparece una María madre de Jacobo ¿?	NT		female	Mutter der Söhne des Zebedäus	Mãe dos filhos de Zebedeu	person	human	defined		MAT
#per42	César	Augusto			NT		male	Kaiser	César	person	human	defined		MAT
#per43	Abel				AT		male	Abel	Abel	person	human	defined	1	MAT
#per44	Zacarías				NT		male	Zacharias 	Zacarias	person	human	defined	1	MAT
#per45	Berequías				NT		male	Berechjas	Baraquias	person	human	defined		MAT
#per46	Daniel	profeta	Beltsasar		AT		male	Daniel	Daniel	person	human	defined	1	MAT
#per47	Noé				AT		male	Noah	Noé	person	human	defined	1	MAT
#per48	Caifás	sumo sacerdote			NT		male	Kaiphas	Caifás	person	human	defined		MAT
#per49	Simón	Simón el leproso			NT		male	Simon	Simão	person	human	defined		MAT
#per50	Pilato	procurador Pilato			NT		male	Pilatus	Pilatos	person	human	defined		MAT
#per51	Barrabás				NT		male	Barabbas	Barrabás	person	human	defined		MAT
#per52	esposa	esposa de Pilato			NT		female	Ehefrau	Esposa	person	human	defined		MAT
#per53	Natanael				NT		male	Nathanael	Natanael	person	human	defined		MAT
#per54	Simón	Hombre de Cirene que lleva la cruz de Jesús			NT		male	Simon	Simão	person	human	defined		MAT
#per55	ladrón	ladrón de la derecha			NT		male	Räuber	Ladrão	person	human	defined		MAT
#per56	ladrón	ladrón de la izquierda			NT		male	Räuber	Ladrão	person	human	defined		MAT
#per57	Centurión				NT		male	Zenturio	Centurião	person	human	defined		MAT
#per58	María Magdalena				NT		female	Maria Magdalena	Maria Madalena	person	human	defined		MAT
#per59	María	ma. Jacobo  mu. Alfeo			NT		female	Maria	Maria	person	human	defined		MAT
#per60	José	he. Jacobo  hi. María y Alfeo			NT		male	Josef	José	person	human	defined		MAT
#per61	José	hombre rico de Arimatea			NT		male	Josef	José	person	human	defined		MAT
#per62	Arquelao				AT		male	Archelaus	Arquelau	person	human	defined		MAT
#per63	Roboam				AT		male	Rehabeam	Roboão	person	human	defined		MAT
#per64	Abías				AT		male	Abija	Abias	person	human	defined		MAT
#per65	Asa				AT		male	Asa	Asa	person	human	defined		MAT
#per66	Josafat				AT		male	Joschafat	Josafá	person	human	defined		MAT
#per67	Joram				AT		male	Joram	Jorão	person	human	defined		MAT
#per68	Uzías				AT		male	Usija	Uzias	person	human	defined		MAT
#per69	Jotam				AT		male	Jotam	Jotão	person	human	defined		MAT
#per70	Acaz				AT		male	Ahas	Acaz	person	human	defined		MAT
#per71	Ezequías				AT		male	Hiskia	Ezequias	person	human	defined		MAT
#per72	Manasés	hijo de José			AT		male	Manasse	Manassés	person	human	defined	1	MAT
#per73	Amón				AT		male	Amon	Amom	person	human	defined	1	MAT
#per74	Josías				AT		male	Josia	Josias	person	human	defined		MAT
#per75	Jeconías				AT		male	Jojachin	Jeconias	person	human	defined		MAT
#per76	Salatiel				AT		male	Schealtiël	Salatiel	person	human	defined		MAT
#per77	Zorobabel				AT		male	Serubbabel	Zorobabel	person	human	defined	1	MAT
#per78	Abiud				AT		male	Abihud	Abiúde	person	human	defined		MAT
#per79	Eliaquim				AT		male	Eljakim	Eliaquim	person	human	defined		MAT
#per80	Azor				AT		male	Asor	Azor	person	human	defined		MAT
#per81	Sadoc				AT		male	Zadok	Sadoque	person	human	defined	1	MAT
#per82	Aquim				AT		male	Achim	Aquim	person	human	defined		MAT
#per83	Eliud				AT		male	Eliud	Eliúde	person	human	defined		MAT
#per84	Eleazar				AT		male	Eleasar	Eleazar	person	human	defined		MAT
#per85	Matán				AT		male	Mattan	Matã	person	human	defined		MAT
#per86	Jacob	abuelo de Jesús			NT		male	Jakob	Jacó	person	human	defined		MAT
#per87	Aram		Ram		AT		male	Ram	Arão	person	human	defined		MAT
#per88	Aminadab				AT		male	Amminadab	Aminadabe	person	human	defined		MAT
#per89	Najsón		Naasón		AT		male	Nachschon	Naassom	person	human	defined		MAT
#per90	Salmón	hi. Najson  p. Rajab			AT		male	Salmon	Salmom	person	human	defined		MAT
#per91	Rajab	mu. Salomón  ma. Boaz			AT		female	Rahab	Raabe	person	human	defined		MAT
#per92	Boaz	marido de Rut	Booz		AT		male	Boas	Boaz	person	human	defined		MAT
#per93	Rut	mu. Boaz  ma. Obed		?	AT		female	Rut	Rute	person	human	defined	1	MAT
#per94	Obed				AT		male	Obed	Obede	person	human	defined		MAT
#per95	Isaí	padre de David			AT		male	Isai	Jessé	person	human	defined	1	MAT
#per96	Urías				AT		male	Uria	Urias	person	human	defined	1	MAT
#per97	suegra de Pedro				NT		female	Petrus´ Schwiegermutter	Sogra de Pedro	person	human	defined		MAT
#per98	Jacobo	he. Jesús			NT		male	Jakobus	Tiago	person	human	defined		MAT
#per99	José	he. Jesús			NT		male	Joses	José	person	human	defined		MAT
#per100	Simón	he. Jesús			NT		male	Simon	Simão	person	human	defined		MAT
#per101	Judas	he. Jesús			NT		male	Judas	Judas	person	human	defined		MAT
#per102	Felipe	he. de Herodes			NT		male	Philippus	Filipe	person	human	defined		MAT
#per103	Nicodemo				NT		male	Nikodemus	Nicodemos	person	human	defined		JOH
#per104	José	jefe de tribu			AT		male	Josef	José	person	human	defined	1	JOH
#per105	Simón	pa. Judas Iscariota			NT		male	Simon	Simão	person	human	defined		JOH
#per106	Lázaro				NT		male	Lazarus	Lazaro	person	human	defined		JOH
#per107	María	he. Lázaro y Marta			NT		female	Maria	Maria	person	human	defined		JOH
#per108	Marta	he. Lázaro y María			NT		female	Martha	Marta	person	human	defined		JOH
#per109	Rubén	jefe de tribu			NT		male	Ruben	Ruben	person	human	defined	1	JOH
#per110	Judas	no Iscariote			NT		male	Judas	Judas	person	human	defined		JOH
#per111	Malco			check translation	NT		male	Malco		person	human	defined		JOH
#per112	Anás	suegro Caifas		check translation	NT		male	Anas		person	human	defined		JOH
#per113	tía de Jesús				NT		female	Tante von Jesus	Tia de Jesus	person	human	defined		JOH
#per114	Cleofas				NT		male	Kleopas	Cleofas	person	human	defined		JOH
#per115	María	Mujer de Cleofas			NT		female	Maria	Maria	person	human	defined		JOH
#per116	Antipas				NT		male	Antipas	Antipas	person	human	defined		JOH
#per117	Silvano			antes Balaam	NT		male	Silvanus		person	human	defined		1PE
#per118	Marcos	hijo de Pedro		antes Balac	NT		male			person	human	defined		1PE
#per119	Jezabel				NT		female			person	human	defined		REV
#per120	Gad	jefe de tribu			AT		male	Gad		person	human	defined	1	REV
#per121	Aser	jefe de tribu			AT		male	Aser		person	human	defined	1	REV
#per122	Neftalí	jefe de tribu			AT		male	Naftali		person	human	defined	1	REV
#per123	Manases	jefe de tribu			AT		male	Manasse		person	human	defined	1	REV
#per124	Simeón	jefe de tribu			AT		male	Simeon		person	human	defined	1	REV
#per125	Leví	jefe de tribu			AT		male	Levi		person	human	defined	1	REV
#per126	Isacar	jefe de tribu			AT		male	Isachar		person	human	defined	1	REV
#per127	Zabulón	jefe de tribu			AT		male	Sebulon		person	human	defined	1	REV
#per128	Benjamín	jefe de tribu			AT		male	Benjamin		person	human	defined	1	REV
#per129	Abadón	ángel			NT		male			person	superior	defined		REV
#per130	Miguel	ángel			NT		male	Michael	Miguel	person	superior	defined	1	REV
#per131	Esaú		Edom	Es correcto la variación de Edom??	AT		male	Esau	Esaú	person	human	defined	1	GEN
#per132	Labán				AT		male	Laban		person	human	defined		GEN
#per133	faraón	en tiempos de José			AT		male			person	human	defined		GEN
#per134	Sara				AT		female	Sarah	Sara	person	human	defined	1	GEN
#per135	Lea				AT		female	Leah	Leia	person	human	defined	1	GEN
#per136	Rebeca				AT		female			person	human	defined	1	GEN
#per137	Lot				AT		male	Lot	Ló	person	human	defined	1	GEN
#per138	Abimelec				AT		male			person	human	defined		GEN
#per139	Siquem				AT		male			person	human	defined		GEN
#per140	Ismael				AT		male			person	human	defined	1	GEN
#per141	Nacor	hermano de Abraham			AT		male			person	human	defined	1	GEN
#per142	Caín				AT		male			person	human	defined	1	GEN
#per143	Agar				AT		male			person	human	defined		GEN
#per144	Sem				AT		male			person	human	defined		GEN
#per145	Adán				AT		male			person	human	defined	1	GEN
#per146	Het				AT		male			person	human	defined		GEN
#per147	mujer de Judá				AT		female			person	human	defined		GEN
#per148	Harán				AT		male			person	human	defined		GEN
#per149	Efrón				AT		male			person	human	defined		GEN
#per150	Hamor				AT		male			person	human	defined		GEN
#per151	Quesed				AT		male			person	human	defined		GEN
#per152	Efraín	hijo de José			AT		male			person	human	defined		GEN
#per153	Mamre				AT		male			person	human	defined		GEN
#per154	Lamec				AT		male			person	human	defined		GEN
#per155	Jemuel				AT		male			person	human	defined		GEN
#per156	Taré	padre de Abraham		Padre de Abrahám	AT		male			person	human	defined	1	GEN
#per157	Bilha				AT		male			person	human	defined		GEN
#per158	Cam				AT		male			person	human	defined		GEN
#per159	Betuel				AT		male			person	human	defined		GEN
#per160	Aná				AT		male			person	human	defined		GEN
#per161	Dina				AT		female			person	human	defined		GEN
#per162	Jafet				AT		male			person	human	defined		GEN
#per163	Seir				AT		male			person	human	defined		GEN
#per164	Enoc	hi. de Caín			AT		male			person	human	defined		GEN
#per165	Uz				AT		male			person	human	defined		GEN
#per166	Ada	mujer de Lamec			AT		female			person	human	defined		GEN
#per167	Mas				AT		male			person	human	defined		GEN
#per168	Heber				AT		male			person	human	defined		GEN
#per169	Set				AT		male			person	human	defined		GEN
#per170	mujer de Lot				AT		female			person	human	defined		GEN
#per171	Milca				AT		male			person	human	defined		GEN
#per172	Aholibama				AT		female			person	human	defined		GEN
#per173	Zilpa				AT		female			person	human	defined		GEN
#per174	Zibeón				AT		male			person	human	defined		GEN
#per175	Misma				AT		male			person	human	defined		GEN
#per176	Sala				AT		male			person	human	defined		GEN
#per177	Arfaxad				AT		male			person	human	defined		GEN
#per178	mujer de Potifar				AT		female			person	human	defined		GEN
#per179	Enós				AT		male			person	human	defined		GEN
#per180	Elifaz				AT		male			person	human	defined		GEN
#per181	Dan				AT		male			person	human	defined	1	GEN
#per182	Basemat				AT		female			person	human	defined		GEN
#per183	Mahalaleel				AT		male			person	human	defined		GEN
#per184	Peleg				AT		male			person	human	defined		GEN
#per185	Sela				AT		male			person	human	defined		GEN
#per186	Er				AT		male			person	human	defined		GEN
#per187	Bela				AT		male			person	human	defined		GEN
#per188	Efa				AT		male			person	human	defined		GEN
#per189	mayordomo de José				AT		male			person	human	defined		GEN
#per190	Matusalén				AT		male			person	human	defined	1	GEN
#per191	Quedorlaomer				AT		male			person	human	defined		GEN
#per192	Jordán				AT		male			person	human	defined		GEN
#per193	Onán				AT		male			person	human	defined		GEN
#per194	Jared				AT		male			person	human	defined		GEN
#per195	copero del faraón	en tiempos de José			AT		male			person	human	defined		GEN
#per196	panadero del faraón	en tiempos de José			AT		male			person	human	defined		GEN
#per197	Reuel				AT		male			person	human	defined		GEN
#per198	Cainán				AT		male			person	human	defined		GEN
#per199	Reu				AT		male			person	human	defined		GEN
#per200	Serug				AT		male			person	human	defined		GEN
#per201	jefe de la cárcel	en tiempos de José			AT		male			person	human	defined		GEN
#per202	Temán				AT		male			person	human	defined		GEN
#per203	Lotán				AT		male			person	human	defined		GEN
#per204	Efrata				AT		male			person	human	defined		GEN
#per205	Coré				AT		male			person	human	defined		GEN
#per206	Enoc	hi. de Jared  pa. De Matusalén			AT		male			person	human	defined		GEN
#per207	mujer de Noé				AT		female			person	human	defined		GEN
#per208	Disón				AT		male			person	human	defined		GEN
#per209	Zila				AT		male			person	human	defined		GEN
#per210	Joctán				AT		male			person	human	defined		GEN
#per211	Jaalam				AT		male			person	human	defined		GEN
#per212	Magog				AT		male			person	human	defined		GEN
#per213	Zohar				AT		male			person	human	defined		GEN
#per214	Jeús				AT		male			person	human	defined		GEN
#per215	Gersón			repetido??	AT	medium	male			person	human	defined		GEN
#per216	Elón				AT		male			person	human	defined		GEN
#per217	Potifera				AT		male			person	human	defined		GEN
#per218	Nebaiot				AT		male			person	human	defined		GEN
#per219	Disán				AT		male			person	human	defined		GEN
#per220	Jobab				AT		male			person	human	defined		GEN
#per221	Tola				AT		male			person	human	defined		GEN
#per222	Ezer				AT		male			person	human	defined		GEN
#per223	Sered				AT		male			person	human	defined		GEN
#per224	Husim				AT		male			person	human	defined		GEN
#per225	Jahzeel				AT		male			person	human	defined		GEN
#per226	Zera				AT		male			person	human	defined		GEN
#per227	Ficol				AT		male			person	human	defined		GEN
#per228	Súa				AT		male			person	human	defined		GEN
#per229	Sobal				AT		male			person	human	defined		GEN
#per230	Asenat	mu. José			AT		female			person	human	defined		GEN
#per231	Saúl				AT		male			person	human	defined		GEN
#per232	Cenaz				AT		male			person	human	defined		GEN
#per233	Elam				AT		male			person	human	defined		GEN
#per234	Dedán				AT		male			person	human	defined		GEN
#per235	On			place?	AT	low	male			person	human	defined		GEN
#per236	Sidón				AT		male			person	human	defined		GEN
#per237	Zifión				AT		male			person	human	defined		GEN
#per238	Madián				AT		male			person	human	defined		GEN
#per239	Imna				AT		male			person	human	defined		GEN
#per240	Obal				AT		male			person	human	defined		GEN
#per241	Eva				AT		female			person	human	defined	1	GEN
#per242	Gomer				AT		male			person	human	defined		GEN
#per243	Metusael				AT		male			person	human	defined		GEN
#per244	Nahat				AT		male			person	human	defined		GEN
#per245	Hira				AT		male			person	human	defined		GEN
#per246	Bería				AT		male			person	human	defined		GEN
#per247	Adoram				AT		male			person	human	defined		GEN
#per248	Sama				AT		male			person	human	defined		GEN
#per249	Hanoc				AT		male			person	human	defined		GEN
#per250	Aner				AT		male			person	human	defined		GEN
#per251	faraón	en tiempos de Abraham			AT		male			person	human	defined		GEN
#per252	Omar				AT		male			person	human	defined		GEN
#per253	Mizraim				AT		male			person	human	defined		GEN
#per254	Zefo				AT		male			person	human	defined		GEN
#per255	Dotán				AT		male			person	human	defined		GEN
#per256	Irad				AT		male			person	human	defined		GEN
#per257	Nimrod				AT		male			person	human	defined		GEN
#per258	Miza				AT		male			person	human	defined		GEN
#per259	Gatam				AT		male			person	human	defined		GEN
#per260	Amrafel				AT		male			person	human	defined		GEN
#per261	Hazar-mavet				AT		male			person	human	defined		GEN
#per262	Arioc				AT		male			person	human	defined		GEN
#per263	Escol				AT		male			person	human	defined		GEN
#per264	Javán				AT		male			person	human	defined		GEN
#per265	Parán				AT		male			person	human	defined		GEN
#per266	Hezrón				AT		male			person	human	defined		GEN
#per267	Potifar				AT		male			person	human	defined		GEN
#per268	Ben-ammi				AT		male			person	human	defined		GEN
#per269	Raama				AT		male			person	human	defined		GEN
#per270	Cetura				AT		male			person	human	defined		GEN
#per271	Samla				AT		male			person	human	defined		GEN
#per272	Moab				AT		male			person	human	defined	1	GEN
#per273	Baal-hanán				AT		male			person	human	defined		GEN
#per274	Husam				AT		male			person	human	defined		GEN
#per275	Acbor				AT		male			person	human	defined		GEN
#per276	Hadad				AT		male			person	human	defined		GEN
#per277	Hadar				AT		male			person	human	defined		GEN
#per278	Mas				AT		male			person	human	defined		GEN
#per279	Amalec				AT		male			person	human	defined		GEN
#per280	Jocsán				AT		male			person	human	defined		GEN
#per281	Atad				AT		male			person	human	defined		GEN
#per282	Migdal-edar				AT		male			person	human	defined		GEN
#per283	Mehujael				AT		male			person	human	defined		GEN
#per284	Quitim				AT		male			person	human	defined		GEN
#per285	Tidal				AT		male			person	human	defined		GEN
#per286	Zara				AT		male			person	human	defined		GEN
#per287	Suni				AT		male			person	human	defined		GEN
#per288	Malquiel				AT		male			person	human	defined		GEN
#per289	Askenaz				AT		male			person	human	defined		GEN
#per290	Almodad				AT		male			person	human	defined		GEN
#per291	Togarma				AT		male			person	human	defined		GEN
#per292	Sabta				AT		male			person	human	defined		GEN
#per293	Cedar				AT		male			person	human	defined		GEN
#per294	Rifat				AT		male			person	human	defined		GEN
#per295	Pinón				AT		male			person	human	defined		GEN
#per296	Matred				AT		male			person	human	defined		GEN
#per297	Efer				AT		male			person	human	defined		GEN
#per298	Sefar				AT		male			person	human	defined		GEN
#per299	Jabal				AT		male			person	human	defined		GEN
#per300	Ros				AT		male			person	human	defined		GEN
#per301	Dodanim				AT		male			person	human	defined		GEN
#per302	Tarsis				AT		male			person	human	defined		GEN
#per303	Itrán				AT		male			person	human	defined		GEN
#per304	Kemuel				AT		male			person	human	defined		GEN
#per305	Carmi				AT		male			person	human	defined		GEN
#per306	Reúma				AT		male			person	human	defined		GEN
#per307	Elisa				AT		male			person	human	defined		GEN
#per308	Alván				AT		male			person	human	defined		GEN
#per309	Elda				AT		male			person	human	defined		GEN
#per310	Teba				AT		male			person	human	defined		GEN
#per311	Avit				AT		male			person	human	defined		GEN
#per312	Asbel				AT		male			person	human	defined		GEN
#per313	Naamán				AT		male			person	human	defined		GEN
#per314	Asur				AT		male			person	human	defined		GEN
#per315	Fut				AT		male			person	human	defined		GEN
#per316	Isúi				AT		male			person	human	defined		GEN
#per317	Ohad				AT		male			person	human	defined		GEN
#per318	Abimael				AT		male			person	human	defined		GEN
#per319	Selef				AT		male			person	human	defined		GEN
#per320	Tiras				AT		male			person	human	defined		GEN
#per321	Jetur				AT		male			person	human	defined		GEN
#per322	Ehi				AT		male			person	human	defined		GEN
#per323	Jidlaf				AT		male			person	human	defined		GEN
#per324	Cus				AT		male			person	human	defined		GEN
#per325	Bequer				AT		male			person	human	defined		GEN
#per326	Arodi				AT		male			person	human	defined		GEN
#per327	Acán				AT		male			person	human	defined		GEN
#per328	Querán				AT		male			person	human	defined		GEN
#per329	Semeber				AT		male			person	human	defined		GEN
#per330	Lud				AT		male			person	human	defined		GEN
#per331	Hemam				AT		male			person	human	defined		GEN
#per332	Eri				AT		male			person	human	defined		GEN
#per333	Mesec				AT		male			person	human	defined		GEN
#per334	Cedema				AT		male			person	human	defined		GEN
#per335	Hupim				AT		male			person	human	defined		GEN
#per336	Pildas				AT		male			person	human	defined		GEN
#per337	Medán				AT		male			person	human	defined		GEN
#per338	Gaham				AT		male			person	human	defined		GEN
#per339	Ramesés				AT		male			person	human	defined		GEN
#per340	Masreca				AT		male			person	human	defined		GEN
#per341	Jamín				AT		male			person	human	defined		GEN
#per342	Jaquín				AT		male			person	human	defined		GEN
#per343	Ezbón				AT		male			person	human	defined		GEN
#per344	Jaboc				AT		male			person	human	defined		GEN
#per345	Eliezer				AT		male			person	human	defined		GEN
#per346	Hori				AT		male			person	human	defined		GEN
#per347	Dicla				AT		male			person	human	defined		GEN
#per348	Dinaba				AT		male			person	human	defined		GEN
#per349	Merari				AT		male			person	human	defined		GEN
#per350	Mezaab				AT		male			person	human	defined		GEN
#per351	Madai				AT		male			person	human	defined		GEN
#per352	Anamim				AT		male			person	human	defined		GEN
#per353	Isca				AT		male			person	human	defined		GEN
#per354	Judit				AT		male			person	human	defined		GEN
#per355	Areli				AT		male			person	human	defined		GEN
#per356	Leumim				AT		male			person	human	defined		GEN
#per357	Maaca				AT		male			person	human	defined		GEN
#per358	Mibsam				AT		male			person	human	defined		GEN
#per359	Arán				AT		male			person	human	defined		GEN
#per360	Birsa				AT		male			person	human	defined		GEN
#per361	Isúa				AT		male			person	human	defined		GEN
#per362	Jubal				AT		male			person	human	defined		GEN
#per363	Casluhim				AT		male			person	human	defined		GEN
#per364	Esbán				AT		male			person	human	defined		GEN
#per365	Hazo				AT		male			person	human	defined		GEN
#per366	Sinab				AT		male			person	human	defined		GEN
#per367	Jera				AT		male			person	human	defined		GEN
#per368	Bosra				AT		male			person	human	defined		GEN
#per369	Hul				AT		male			person	human	defined		GEN
#per370	Alva				AT		male			person	human	defined		GEN
#per371	Mehetabel				AT		male			person	human	defined		GEN
#per372	Onam				AT		male			person	human	defined		GEN
#per373	Mahalat				AT		male			person	human	defined		GEN
#per374	Ludim				AT		male			person	human	defined		GEN
#per375	Sefo				AT		male			person	human	defined		GEN
#per376	Fúa				AT		male			person	human	defined		GEN
#per377	Mupim				AT		male			person	human	defined		GEN
#per378	Bedad				AT		male			person	human	defined		GEN
#per379	Manahat				AT		male			person	human	defined		GEN
#per380	Nafis				AT		male			person	human	defined		GEN
#per381	Maquir				AT		male			person	human	defined		GEN
#per382	Isbac				AT		male			person	human	defined		GEN
#per383	Zimram				AT		male			person	human	defined		GEN
#per384	Zaaván				AT		male			person	human	defined		GEN
#per385	Ahuzat				AT		male			person	human	defined		GEN
#per386	Uzal				AT		male			person	human	defined		GEN
#per387	Tema				AT		male			person	human	defined		GEN
#per388	Havila				AT		male			person	human	defined		GEN
#per389	Massa				AT		male			person	human	defined		GEN
#per390	Beor				AT		male			person	human	defined		GEN
#per391	Naftuhim				AT		male			person	human	defined		GEN
#per392	Naama				AT		male			person	human	defined		GEN
#per393	Sabteca				AT		male			person	human	defined		GEN
#per394	Jahleel				AT		male			person	human	defined		GEN
#per395	Bera				AT		male			person	human	defined		GEN
#per396	Job				AT		male			person	human	defined		GEN
#per397	Débora				AT		female			person	human	defined		GEN
#per398	Mibzar				AT		male			person	human	defined		GEN
#per399	Ofir				AT		male			person	human	defined		GEN
#per400	Jezer				AT		male			person	human	defined		GEN
#per401	Patrusim				AT		male			person	human	defined		GEN
#per402	Simrón				AT		male			person	human	defined		GEN
#per403	Caftorim				AT		male			person	human	defined		GEN
#per404	Buz				AT		male			person	human	defined		GEN
#per405	Abida				AT		male			person	human	defined		GEN
#per406	Hagui				AT		male			person	human	defined		GEN
#per407	Aja				AT		male			person	human	defined		GEN
#per408	Asurim				AT		male			person	human	defined		GEN
