	Source	Target	Weight	Type
0	#org70	#per14	30	Undirected
1	#per14	#per576	5	Undirected
2	#org0	#per575	3	Undirected
3	#per77	#pla41	1	Undirected
4	#pla2	#tim19	1	Undirected
5	#per1	#per77	1	Undirected
6	#org12	#org70	3	Undirected
7	#per576	#pla30	1	Undirected
8	#per577	#pla2	1	Undirected
9	#org12	#per77	3	Undirected
10	#per574	#pla30	9	Undirected
11	#org70	#per77	30	Undirected
12	#per574	#per77	33	Undirected
13	#per574	#per575	30	Undirected
14	#per576	#pla41	1	Undirected
15	#per1	#pla30	1	Undirected
16	#per77	#wor1	1	Undirected
17	#org70	#pla4	1	Undirected
18	#org70	#per576	4	Undirected
19	#per1	#per575	1	Undirected
20	#org12	#per575	3	Undirected
21	#per76	#pla2	3	Undirected
22	#per77	#pla4	1	Undirected
23	#org12	#wor1	1	Undirected
24	#per574	#wor1	1	Undirected
25	#per574	#pla41	1	Undirected
26	#per575	#per76	4	Undirected
27	#per14	#pla2	4	Undirected
28	#org12	#per574	3	Undirected
29	#per575	#tim19	1	Undirected
30	#per575	#per77	31	Undirected
31	#per574	#per76	4	Undirected
32	#per77	#pla30	10	Undirected
33	#org70	#pla30	10	Undirected
34	#org0	#pla30	2	Undirected
35	#per576	#per77	5	Undirected
36	#org70	#per575	30	Undirected
37	#per575	#pla30	10	Undirected
38	#org70	#per1	1	Undirected
39	#per575	#per577	1	Undirected
40	#per14	#pla30	10	Undirected
41	#org70	#wor1	1	Undirected
42	#org0	#per77	4	Undirected
43	#org0	#per1	1	Undirected
44	#per76	#pla30	1	Undirected
45	#per574	#tim19	4	Undirected
46	#per14	#per575	31	Undirected
47	#per575	#pla4	1	Undirected
48	#org0	#org70	3	Undirected
49	#per575	#per576	5	Undirected
50	#per14	#wor1	1	Undirected
51	#per77	#tim19	1	Undirected
52	#per576	#per577	1	Undirected
53	#per575	#pla5	1	Undirected
54	#per575	#wor1	1	Undirected
55	#per574	#per576	4	Undirected
56	#org70	#per76	3	Undirected
57	#per14	#pla4	1	Undirected
58	#per577	#tim19	3	Undirected
59	#per574	#pla5	1	Undirected
60	#per574	#per577	2	Undirected
61	#per574	#pla2	3	Undirected
62	#per1	#per14	1	Undirected
63	#per14	#tim19	4	Undirected
64	#per14	#per574	36	Undirected
65	#per577	#per77	1	Undirected
66	#per576	#per76	4	Undirected
67	#per14	#per76	5	Undirected
68	#per576	#pla2	3	Undirected
69	#org0	#per14	4	Undirected
70	#per76	#per77	5	Undirected
71	#org0	#per574	4	Undirected
72	#org70	#per574	29	Undirected
73	#per14	#per77	34	Undirected
74	#org0	#pla4	1	Undirected
75	#per577	#per76	1	Undirected
76	#per575	#pla2	3	Undirected
77	#org70	#pla41	1	Undirected
78	#per575	#pla41	1	Undirected
79	#org12	#per14	3	Undirected
80	#pla2	#pla30	1	Undirected
81	#org70	#pla5	1	Undirected
82	#per576	#tim19	1	Undirected
83	#per76	#tim19	1	Undirected
84	#org70	#pla2	2	Undirected
85	#per77	#pla5	1	Undirected
86	#per14	#pla41	1	Undirected
87	#per1	#per574	1	Undirected
88	#per77	#pla2	4	Undirected
89	#per574	#pla4	1	Undirected
90	#per14	#pla5	1	Undirected
91	#per14	#per577	2	Undirected
