	Source	Target	Weight	Type
0	#org19	#per39	2	Undirected
1	#org0	#pla15	1	Undirected
2	#org131	#pla3	1	Undirected
3	#org122	#org19	1	Undirected
4	#org102	#org19	2	Undirected
5	#org18	#per14	4	Undirected
6	#org18	#per39	1	Undirected
7	#org0	#org122	1	Undirected
8	#org0	#pla41	2	Undirected
9	#org0	#org18	4	Undirected
10	#org18	#org19	13	Undirected
11	#org19	#pla30	1	Undirected
12	#org19	#per14	6	Undirected
13	#org18	#org24	1	Undirected
14	#per39	#pla3	3	Undirected
15	#org0	#org19	2	Undirected
16	#org0	#org102	1	Undirected
17	#per14	#pla30	1	Undirected
18	#org143	#per39	1	Undirected
19	#org0	#pla3	1	Undirected
20	#org4	#per14	1	Undirected
21	#org100	#org18	1	Undirected
22	#org0	#per14	18	Undirected
23	#org70	#per39	1	Undirected
24	#per35	#pla3	1	Undirected
25	#org150	#org18	1	Undirected
26	#org0	#org100	4	Undirected
27	#per14	#pla18	1	Undirected
28	#org100	#org131	1	Undirected
29	#per35	#per39	1	Undirected
30	#org0	#org143	1	Undirected
31	#org0	#per39	7	Undirected
32	#org143	#pla3	1	Undirected
33	#org100	#per14	1	Undirected
34	#pla18	#pla41	1	Undirected
35	#per14	#per39	2	Undirected
36	#per14	#pla41	1	Undirected
37	#per39	#pla4	1	Undirected
38	#org100	#pla41	1	Undirected
39	#pla3	#pla4	1	Undirected
40	#org102	#org18	1	Undirected
41	#org100	#org102	2	Undirected
42	#org122	#per14	2	Undirected
43	#org100	#org19	1	Undirected
