	Source	Target	Weight	Type
0	#org70	#per14	37	Undirected
1	#org0	#org12	3	Undirected
2	#org70	#per573	38	Undirected
3	#org18	#pla159	1	Undirected
4	#org46	#org70	1	Undirected
5	#org4	#org70	1	Undirected
6	#org12	#org70	5	Undirected
7	#per125	#per14	3	Undirected
8	#org0	#per4	1	Undirected
9	#org70	#per12	1	Undirected
10	#pla159	#wor1	1	Undirected
11	#org122	#per14	2	Undirected
12	#per125	#wor1	1	Undirected
13	#org14	#org16	1	Undirected
14	#org125	#per14	1	Undirected
15	#org19	#per14	7	Undirected
16	#org126	#pla246	1	Undirected
17	#org46	#per14	1	Undirected
18	#org16	#per573	1	Undirected
19	#org12	#wor1	3	Undirected
20	#org102	#org14	1	Undirected
21	#org18	#per26	1	Undirected
22	#per573	#wor1	5	Undirected
23	#org12	#per125	2	Undirected
24	#org12	#org13	1	Undirected
25	#per131	#per14	2	Undirected
26	#per1	#per573	2	Undirected
27	#org14	#org19	1	Undirected
28	#org0	#org122	1	Undirected
29	#per1	#pla30	1	Undirected
30	#org12	#pla30	1	Undirected
31	#org70	#pla4	3	Undirected
32	#org70	#per5	1	Undirected
33	#org18	#per573	6	Undirected
34	#org4	#per14	1	Undirected
35	#org18	#org70	4	Undirected
36	#org70	#per125	1	Undirected
37	#org70	#pla246	1	Undirected
38	#org19	#tim2	2	Undirected
39	#org102	#per14	1	Undirected
40	#org0	#pla246	1	Undirected
41	#pla4	#wor1	1	Undirected
42	#org12	#pla3	1	Undirected
43	#org18	#per13	1	Undirected
44	#pla30	#pla4	1	Undirected
45	#org12	#pla4	2	Undirected
46	#org0	#pla4	2	Undirected
47	#per13	#per14	1	Undirected
48	#org103	#pla3	1	Undirected
49	#org4	#per573	1	Undirected
50	#per13	#tim2	1	Undirected
51	#org12	#per573	19	Undirected
52	#org100	#per573	1	Undirected
53	#org70	#tim2	2	Undirected
54	#per12	#per14	1	Undirected
55	#per14	#wor4	1	Undirected
56	#per5	#per573	2	Undirected
57	#org0	#org18	1	Undirected
58	#org70	#pla30	2	Undirected
59	#per12	#per573	1	Undirected
60	#org0	#pla41	1	Undirected
61	#org103	#pla30	1	Undirected
62	#org103	#per573	1	Undirected
63	#per14	#pla159	1	Undirected
64	#per573	#pla30	3	Undirected
65	#per573	#tim2	3	Undirected
66	#org18	#tim2	2	Undirected
67	#org22	#per14	2	Undirected
68	#org122	#per573	2	Undirected
69	#org0	#wor1	1	Undirected
70	#org70	#per4	3	Undirected
71	#per14	#per573	53	Undirected
72	#org0	#per14	11	Undirected
73	#org18	#org19	2	Undirected
74	#org0	#org126	1	Undirected
75	#per14	#pla30	3	Undirected
76	#org102	#org70	1	Undirected
77	#per573	#pla159	1	Undirected
78	#per125	#per573	3	Undirected
79	#org70	#tim18	1	Undirected
80	#org12	#per4	1	Undirected
81	#per573	#pla41	3	Undirected
82	#per4	#per573	3	Undirected
83	#per573	#pla246	1	Undirected
84	#org13	#per14	1	Undirected
85	#org0	#org70	9	Undirected
86	#org126	#per573	1	Undirected
87	#org13	#pla30	1	Undirected
88	#org70	#pla41	3	Undirected
89	#org102	#org19	1	Undirected
90	#org125	#per131	1	Undirected
91	#per14	#wor1	5	Undirected
92	#org126	#per14	1	Undirected
93	#org16	#org70	1	Undirected
94	#org70	#per131	2	Undirected
95	#org70	#per1	2	Undirected
96	#per26	#per573	1	Undirected
97	#org70	#pla3	1	Undirected
98	#per14	#pla246	1	Undirected
99	#per13	#per573	1	Undirected
100	#org100	#per14	1	Undirected
101	#org100	#org70	1	Undirected
102	#per26	#pla4	1	Undirected
103	#org102	#org16	1	Undirected
104	#org13	#per573	1	Undirected
105	#per14	#pla4	6	Undirected
106	#org70	#pla159	1	Undirected
107	#pla3	#pla4	1	Undirected
108	#org13	#pla4	1	Undirected
109	#org70	#wor1	4	Undirected
110	#per1	#per14	1	Undirected
111	#org103	#per5	1	Undirected
112	#org14	#per14	1	Undirected
113	#org19	#org70	6	Undirected
114	#org4	#per1	1	Undirected
115	#per26	#wor1	1	Undirected
116	#org19	#per573	7	Undirected
117	#per14	#tim2	3	Undirected
118	#org18	#per14	6	Undirected
119	#org70	#per13	1	Undirected
120	#org12	#org22	1	Undirected
121	#per14	#pla3	2	Undirected
122	#per573	#pla4	6	Undirected
123	#org102	#per573	1	Undirected
124	#org103	#per14	1	Undirected
125	#org18	#wor1	1	Undirected
126	#org125	#org70	1	Undirected
127	#pla159	#pla4	1	Undirected
128	#org0	#per573	11	Undirected
129	#org126	#org70	1	Undirected
130	#per573	#tim18	1	Undirected
131	#per573	#wor4	1	Undirected
132	#per5	#pla30	1	Undirected
133	#org103	#pla4	1	Undirected
134	#org18	#pla41	1	Undirected
135	#org14	#per573	1	Undirected
136	#org46	#per125	1	Undirected
137	#org125	#per573	1	Undirected
138	#org18	#pla4	1	Undirected
139	#per1	#tim18	1	Undirected
140	#per573	#pla3	2	Undirected
141	#org4	#pla30	1	Undirected
142	#org12	#per14	18	Undirected
143	#org16	#org19	1	Undirected
144	#per14	#per4	3	Undirected
145	#org22	#org70	1	Undirected
146	#org70	#per26	1	Undirected
147	#org22	#per573	2	Undirected
148	#per131	#per573	2	Undirected
149	#org12	#org122	2	Undirected
150	#per5	#pla4	1	Undirected
151	#per26	#pla159	1	Undirected
152	#per5	#pla3	2	Undirected
153	#org103	#org13	1	Undirected
154	#per131	#per4	1	Undirected
155	#org12	#per5	1	Undirected
156	#org12	#per12	1	Undirected
157	#per14	#pla41	3	Undirected
158	#per14	#per26	1	Undirected
159	#org13	#per5	1	Undirected
160	#org103	#org12	1	Undirected
161	#org70	#wor4	1	Undirected
162	#org13	#pla3	1	Undirected
163	#pla3	#pla30	1	Undirected
164	#org14	#org70	1	Undirected
165	#per14	#per5	2	Undirected
166	#org46	#per573	1	Undirected
167	#org16	#per14	1	Undirected
