	Source	Target	Via	Weight	Type
29	#per1	#per25	oral	63	Directed
4	#org4	#per25	oral	25	Directed
15	#per14	#per25	oral	23	Directed
20	#org4	#org0	oral	20	Directed
3	#per14	#org0	oral	20	Directed
9	#per25	#org33	written	12	Directed
23	#per25	#org34	written	10	Directed
10	#per25	#org36	written	9	Directed
21	#org0	#org0	oral	9	Directed
13	#org4	#org0	prayer	7	Directed
31	#per25	#org30	written	7	Directed
11	#org52	#per25	oral	6	Directed
7	#org4	#per14	prayer	5	Directed
2	#per25	#org32	written	5	Directed
28	#org51	#per25	oral	4	Directed
26	#per25	#org31	written	3	Directed
5	#per25	#org35	written	3	Directed
17	#org4	#org4	oral	3	Directed
25	#org0	#per14	prayer	2	Directed
33	#per25	#org0	written	2	Directed
27	#org0	#per1	prayer	2	Directed
1	#org52	#per17	oral	2	Directed
8	#org51	#per1	prayer	2	Directed
6	#org51	#per14	prayer	2	Directed
30	#org0	#org0	written	1	Directed
32	#pla69	#pla69	thought	1	Directed
34	#org37	#per1	prayer	1	Directed
0	#org4	#org32	written	1	Directed
18	#org4	#per1	oral	1	Directed
24	#org52	#per14	prayer	1	Directed
22	#org36	#org0	oral	1	Directed
19	#per1	#org31	written	1	Directed
16	#org0	#per17	prayer	1	Directed
14	#org4	#per1	prayer	1	Directed
12	#per25	#org52	oral	1	Directed
35	#per14	#org4	oral	1	Directed
