	Source	Target	Via	Weight	Type
0	#per14	#per859	oral	998	Directed
8	#per859	#org70	idea	264	Directed
6	#per14	#org70	oral	261	Directed
10	#per14	#pla4	oral	107	Directed
9	#per859	#pla4	idea	106	Directed
19	#per14	#org25	oral	64	Directed
18	#per859	#org25	idea	64	Directed
55	#per859	#pla22	idea	53	Directed
56	#per14	#pla22	oral	53	Directed
88	#per859	#per858	idea	41	Directed
89	#per14	#per858	oral	41	Directed
42	#per14	#pla3	oral	38	Directed
41	#per859	#pla3	idea	38	Directed
65	#per859	#org174	idea	32	Directed
71	#per859	#org65	idea	31	Directed
66	#per14	#org174	oral	31	Directed
72	#per14	#org65	oral	30	Directed
26	#per859	#org14	idea	21	Directed
27	#per14	#org14	oral	20	Directed
69	#per14	#pla5	oral	19	Directed
68	#per859	#pla5	idea	19	Directed
60	#per14	#per20	oral	17	Directed
59	#per859	#per20	idea	17	Directed
78	#per14	#org12	oral	16	Directed
77	#per859	#org12	idea	15	Directed
5	#per17	#per859	oral	15	Directed
1	#per859	#org70	oral	13	Directed
79	#per859	#pla125	idea	13	Directed
80	#per14	#pla125	oral	13	Directed
39	#per859	#org82	idea	10	Directed
40	#per14	#org82	oral	10	Directed
96	#org4	#per859	oral	7	Directed
13	#org70	#org0	oral	6	Directed
64	#per14	#pla23	oral	5	Directed
93	#per14	#ani0	oral	5	Directed
92	#per859	#ani0	idea	5	Directed
30	#org0	#org0	oral	5	Directed
63	#per859	#pla23	idea	5	Directed
47	#per859	#org81	idea	4	Directed
95	#per14	#org0	oral	4	Directed
94	#per859	#org0	idea	4	Directed
12	#per14	#org4	oral	4	Directed
24	#per14	#per859	idea	4	Directed
48	#per14	#org81	oral	4	Directed
28	#org14	#org0	oral	3	Directed
50	#per859	#org126	idea	3	Directed
51	#per14	#org126	oral	3	Directed
52	#per859	#org53	idea	3	Directed
53	#per14	#org53	oral	3	Directed
7	#per859	#per14	prayer	3	Directed
23	#per859	#org172	idea	2	Directed
15	#org4	#org4	oral	2	Directed
81	#pla125	#org0	oral	2	Directed
31	#org0	#per14	oral	2	Directed
22	#per14	#org70	idea	2	Directed
75	#org70	#org0	soCalled	2	Directed
21	#org70	#per859	oral	2	Directed
67	#org174	#org0	soCalled	2	Directed
37	#per859	#per14	oral	2	Directed
36	#per14	#pla112	oral	2	Directed
25	#org70	#org70	oral	2	Directed
35	#per859	#pla112	idea	2	Directed
34	#per14	#org88	oral	2	Directed
4	#per14	#org19	oral	1	Directed
82	#org101	#org0	prayer	1	Directed
83	#per859	#per17	idea	1	Directed
44	#per14	#per14	thought	1	Directed
84	#per14	#per17	oral	1	Directed
85	#per859	#org22	written	1	Directed
86	#per859	#org49	written	1	Directed
87	#org70	#per859	soCalled	1	Directed
3	#org51	#per859	oral	1	Directed
2	#per859	#org171	idea	1	Directed
38	#org70	#per859	idea	1	Directed
90	#per858	#per858	thought	1	Directed
91	#pla162	#per858	soCalled	1	Directed
11	#org25	#org25	soCalled	1	Directed
70	#org65	#per14	prayer	1	Directed
76	#org172	#org0	oral	1	Directed
62	#per20	#org0	soCalled	1	Directed
46	#per73	#per14	prayer	1	Directed
43	#org8	#org0	oral	1	Directed
49	#org81	#org0	prayer	1	Directed
54	#pla22	#pla3	oral	1	Directed
57	#org100	#pla22	oral	1	Directed
58	#pla22	#org0	oral	1	Directed
61	#per20	#org0	oral	1	Directed
29	#per14	#org0	soCalled	1	Directed
74	#per14	#org19	soCalled	1	Directed
33	#per14	#org88	prayer	1	Directed
20	#org70	#org172	oral	1	Directed
17	#org25	#org25	oral	1	Directed
16	#org4	#org51	oral	1	Directed
45	#org82	#org0	oral	1	Directed
14	#org4	#per14	oral	1	Directed
73	#per14	#org18	soCalled	1	Directed
32	#org70	#per14	oral	1	Directed
