	Source	Target	Via	Weight	Type
0	#per14	#per26	oral	737	Directed
1	#per26	#org70	idea	476	Directed
12	#per14	#org70	oral	213	Directed
13	#per14	#org70	idea	45	Directed
2	#per26	#org12	oral	41	Directed
16	#per26	#per500	idea	31	Directed
6	#per14	#per500	oral	15	Directed
4	#per26	#per500	oral	12	Directed
3	#per26	#org70	oral	2	Directed
7	#per500	#org70	idea	2	Directed
10	#per26	#per604	oral	2	Directed
15	#org70	#org12	idea	1	Directed
14	#org15	#org0	idea	1	Directed
9	#per26	#per596	oral	1	Directed
11	#per500	#per26	oral	1	Directed
8	#per14	#org0	oral	1	Directed
5	#per26	#org0	oral	1	Directed
17	#org70	#org70	soCalled	1	Directed
