	Source	Target	Weight	Type
0	#per1417	#per532	1	Undirected
1	#per1	#pla191	1	Undirected
2	#org37	#per1430	1	Undirected
3	#per1	#pla171	1	Undirected
4	#org19	#per1426	1	Undirected
5	#org0	#org18	1	Undirected
6	#per14	#per1417	1	Undirected
7	#per1423	#pla202	1	Undirected
8	#per14	#wor1	1	Undirected
9	#per1426	#per26	1	Undirected
10	#org37	#per1424	1	Undirected
11	#per1420	#per26	1	Undirected
12	#per907	#pla198	1	Undirected
13	#per1419	#per1430	1	Undirected
14	#per542	#pla212	1	Undirected
15	#per1424	#per1430	1	Undirected
16	#org19	#per26	1	Undirected
17	#per1418	#pla63	1	Undirected
18	#per14	#pla62	1	Undirected
19	#org37	#per1419	1	Undirected
20	#per14	#pla19	1	Undirected
21	#per1052	#pla198	1	Undirected
22	#org16	#per1	1	Undirected
23	#per542	#per551	1	Undirected
24	#pla212	#pla223	1	Undirected
25	#per550	#pla62	1	Undirected
26	#pla198	#pla200	1	Undirected
27	#per1	#per14	4	Undirected
28	#org19	#per14	1	Undirected
29	#per527	#wor1	1	Undirected
30	#per1424	#per1431	1	Undirected
31	#per1	#tim14	1	Undirected
32	#pla200	#pla824	1	Undirected
33	#per551	#pla212	1	Undirected
34	#per542	#pla223	1	Undirected
35	#org18	#per14	1	Undirected
36	#per1428	#per907	1	Undirected
37	#per1419	#per1431	1	Undirected
38	#per1052	#pla824	1	Undirected
39	#per1421	#pla63	1	Undirected
40	#per551	#pla223	1	Undirected
41	#per907	#pla200	1	Undirected
42	#per1417	#per1425	1	Undirected
43	#org37	#per1431	1	Undirected
44	#per1416	#per1422	1	Undirected
45	#per1418	#per1421	1	Undirected
46	#per1	#per504	1	Undirected
47	#org18	#per1	3	Undirected
48	#per14	#per504	1	Undirected
49	#per1	#per527	4	Undirected
50	#per14	#per527	3	Undirected
51	#per1428	#pla200	1	Undirected
52	#per1	#pla190	1	Undirected
53	#per1052	#per1428	1	Undirected
54	#pla198	#pla824	1	Undirected
55	#per907	#pla824	1	Undirected
56	#per1	#pla19	2	Undirected
57	#org19	#per1420	1	Undirected
58	#per1052	#pla200	1	Undirected
59	#per1	#per35	1	Undirected
60	#per1420	#per1426	1	Undirected
61	#per1430	#per1431	1	Undirected
62	#pla171	#pla191	1	Undirected
63	#per1052	#per907	1	Undirected
64	#pla190	#pla191	1	Undirected
65	#per1427	#per1429	1	Undirected
66	#per1428	#pla198	1	Undirected
67	#pla171	#pla190	1	Undirected
68	#per1	#per482	1	Undirected
69	#per1	#wor1	1	Undirected
70	#org16	#per527	1	Undirected
71	#per1428	#pla824	1	Undirected
72	#per571	#per958	1	Undirected
73	#per1419	#per1424	1	Undirected
74	#per1425	#per532	1	Undirected
75	#org0	#org19	1	Undirected
76	#org0	#per1	1	Undirected
